gametype,gamecode,gamename,gameplat,lang,status,maintain,nameset,language
slot,143,Fa Cai Fu Wa,web,zh-cn,TRUE,FALSE,发财福娃,zh-cn
,,,,en,,,Fa Cai Fu Wa,en
,,,,th,,,ฟา ไฉ ฟู วา,th
slot,144,Diamond Treasure,web,ko,TRUE,FALSE,다이아몬드 트레져,ko
,,,,zh-cn,,,钻更多,zh-cn
,,,,en,,,Diamond Treasure,en
fish,AT01,Oneshot Fishing,"web,mobile",vn,TRUE,FALSE,원 슛 피싱,ko
,,,,zh-cn,,,Рыбалка одним выстрелом,ru
,,,,en,,,จับปลานัดเดียว,th
,,,,ko,,,Bắn Cá One Shot,vn
,,,,ru,,,一炮捕鱼,zh-cn
,,,,th,,,Oneshot Fishing,en
slot,112,Pyramid Raider,web,en,TRUE,FALSE,Incursor da pirâmide,pt-br
,,,,es,,,Đột Kích Kim Tự Tháp,vn
,,,,ko,,,Asaltante de Pirámide,es
,,,,id,,,피라미드 라이더,ko
,,,,ja,,,ผู้บุกรุก ปิรามิด,th
,,,,zh-cn,,,Penjarah Piramida,id
,,,,pt-br,,,ピラミッドの侵入者,ja
,,,,vn,,,盗法老墓,zh-cn
,,,,th,,,Pyramid Raider,en
slot,152,Double Fly,web,zh-cn,TRUE,FALSE,ดับเบิลฟลาย,th
,,,,en,,,双飞,zh-cn
,,,,th,,,Double Fly,en
slot,153,Six Candy,web,ko,TRUE,FALSE,六颗糖,zh-cn
,,,,th,,,Six Candy,en
,,,,es,,,식스 캔디,ko
,,,,ja,,,ซิกแคนดี้,th
,,,,zh-cn,,,Seis carameros,es
,,,,en,,,シックスキャンディ,ja
slot,154,Kronos,web,zh-cn,TRUE,FALSE,宙斯他爹,zh-cn
,,,,en,,,Kronos,en
,,,,th,,,โครนอส,th
slot,160,Fa Cai Shen2,web,en,TRUE,FALSE,ฟาชัยเซ็น 2,th
,,,,th,,,发财神2,zh-cn
,,,,zh-cn,,,Fa Cai Shen2,en
slot,163,Ne Zha Advent,web,en,TRUE,FALSE,Ne Zha Advent,en
,,,,zh-cn,,,哪吒再临,zh-cn
slot,161,Heracles,web,es,TRUE,FALSE,Hercules,en
,,,,ko,,,เฮอร์คิวลิส,th
,,,,zh-cn,,,Hércules,es
,,,,en,,,Hercules,ko
,,,,th,,,大力神,zh-cn
slot,171,Greek Gods,web,zh-cn,TRUE,FALSE,希腊众神,zh-cn
,,,,en,,,Greek Gods,en
,,,,ko,,,그리스 신들,ko
,,,,th,,,เทพเจ้ากรีก,th
